det1_tracker_vtxSupp_3  |                root  |        det1_tracker_vtxSupp_3  |                                    0*cm 0*cm 5*cm  |                       0*deg 0*rad 0*deg  | f9e7bb   |                Tube  |                         6.82*cm 6.87*cm 18*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                         id manual 61300 
          Vertex_5_5  |                root  |                    Vertex_5_5  |      2.44324620145669*cm 13.8562422033922*cm 5*cm  |        0*deg 0*rad 16.9977081012255*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50505 
          Vertex_5_6  |                root  |                    Vertex_5_6  |     -2.44320943266521*cm 13.8562486867166*cm 5*cm  |       0*deg 0*rad -3.00286487346808*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50506 
          Vertex_5_7  |                root  |                    Vertex_5_7  |     -7.03497844403449*cm 12.1849898765641*cm 5*cm  |       0*deg 0*rad -23.0034378481617*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50507 
          Vertex_5_8  |                root  |                    Vertex_5_8  |     -10.7782266486761*cm 9.04404391352505*cm 5*cm  |       0*deg 0*rad -43.0040108228553*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50508 
          Vertex_5_9  |                root  |                    Vertex_5_9  |     -13.2214638236059*cm 4.81225460268684*cm 5*cm  |       0*deg 0*rad -63.0045837975489*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50509 
         Vertex_5_10  |                root  |                   Vertex_5_10  | -14.0699999999505*cm 3.73360083924729e-05*cm 5*cm  |       0*deg 0*rad -83.0051567722425*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50510 
         Vertex_5_11  |                root  |                   Vertex_5_11  |    -13.2214893629191*cm -4.81218443393616*cm 5*cm  |       0*deg 0*rad -103.005729746936*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50511 
         Vertex_5_12  |                root  |                   Vertex_5_12  |    -10.7782746468895*cm -9.04398671141323*cm 5*cm  |        0*deg 0*rad -123.00630272163*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50512 
         Vertex_5_13  |                root  |                   Vertex_5_13  |    -7.03504311186496*cm -12.1849525404985*cm 5*cm  |       0*deg 0*rad -143.006875696323*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50513 
         Vertex_5_14  |                root  |                   Vertex_5_14  |    -2.44328297023098*cm -13.8562357199702*cm 5*cm  |       0*deg 0*rad -163.007448671017*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50514 
         Vertex_5_15  |                root  |                   Vertex_5_15  |     2.44317266385651*cm -13.8562551699434*cm 5*cm  |       0*deg 0*rad -183.008021645711*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50515 
         Vertex_5_16  |                root  |                   Vertex_5_16  |     7.03494611004496*cm -12.1850085444682*cm 5*cm  |       0*deg 0*rad -203.008594620404*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50516 
         Vertex_5_17  |                root  |                   Vertex_5_17  |     10.7782026494555*cm -9.04407251448542*cm 5*cm  |       0*deg 0*rad -223.009167595098*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50517 
         Vertex_5_18  |                root  |                   Vertex_5_18  |     13.2214510538096*cm -4.81228968701136*cm 5*cm  |       0*deg 0*rad -243.009740569791*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50518 
          Vertex_6_1  |                root  |                    Vertex_6_1  |                                18.07*cm 0*cm 5*cm  |                      0*deg 0*rad 97*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50601 
          Vertex_6_2  |                root  |                    Vertex_6_2  |      17.4542807152487*cm 4.67685628529424*cm 5*cm  |        0*deg 0*rad 81.9995702689798*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50602 
          Vertex_6_3  |                root  |                    Vertex_6_3  |      15.6490830422472*cm 9.03499307895971*cm 5*cm  |        0*deg 0*rad 66.9991405379596*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50603 
          Vertex_6_4  |                root  |                    Vertex_6_4  |      12.7774280125456*cm 12.7774110595306*cm 5*cm  |        0*deg 0*rad 51.9987108069394*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50604 
          Vertex_6_5  |                root  |                    Vertex_6_5  |      9.03501384207528*cm 15.6490710546508*cm 5*cm  |        0*deg 0*rad 36.9982810759192*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50605 
          Vertex_6_6  |                root  |                    Vertex_6_6  |       4.6768794435407*cm 17.4542745100043*cm 5*cm  |        0*deg 0*rad 21.9978513448989*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50606 
          Vertex_6_7  |                root  |                    Vertex_6_7  |   2.3975183782963e-05*cm 18.0699999999841*cm 5*cm  |        0*deg 0*rad 6.99742161387873*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50607 
          Vertex_6_8  |                root  |                    Vertex_6_8  |     -4.67683312703954*cm 17.4542869204624*cm 5*cm  |       0*deg 0*rad -8.00300811714148*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50608 
          Vertex_6_9  |                root  |                    Vertex_6_9  |     -9.03497231582824*cm 15.6490950298162*cm 5*cm  |       0*deg 0*rad -23.0034378481617*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50609 
         Vertex_6_10  |                root  |                   Vertex_6_10  |     -12.7773941064931*cm 12.7774449655382*cm 5*cm  |       0*deg 0*rad -38.0038675791819*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50610 
         Vertex_6_11  |                root  |                   Vertex_6_11  |     -15.6490590670267*cm 9.03503460517493*cm 5*cm  |       0*deg 0*rad -53.0042973102021*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50611 
         Vertex_6_12  |                root  |                   Vertex_6_12  |     -17.4542683047292*cm 4.67690260177892*cm 5*cm  |       0*deg 0*rad -68.0047270412223*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50612 
         Vertex_6_13  |                root  |                   Vertex_6_13  | -18.0699999999364*cm 4.79503675658838e-05*cm 5*cm  |       0*deg 0*rad -83.0051567722425*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50613 
         Vertex_6_14  |                root  |                   Vertex_6_14  |    -17.4542931256454*cm -4.67680996877661*cm 5*cm  |       0*deg 0*rad -98.0055865032627*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50614 
         Vertex_6_15  |                root  |                   Vertex_6_15  |    -15.6491070173576*cm -9.03495155268086*cm 5*cm  |       0*deg 0*rad -113.006016234283*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50615 
         Vertex_6_16  |                root  |                   Vertex_6_16  |     -12.7774619185082*cm -12.777377153433*cm 5*cm  |       0*deg 0*rad -128.006445965303*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50616 
         Vertex_6_17  |                root  |                   Vertex_6_17  |     -9.0350553682587*cm -15.6490470793751*cm 5*cm  |       0*deg 0*rad -143.006875696323*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50617 
         Vertex_6_18  |                root  |                   Vertex_6_18  |    -4.67692576000892*cm -17.4542620994233*cm 5*cm  |       0*deg 0*rad -158.007305427344*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50618 
         Vertex_6_19  |                root  |                   Vertex_6_19  |-7.19255513567449e-05*cm -18.0699999998569*cm 5*cm  |       0*deg 0*rad -173.007735158364*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50619 
         Vertex_6_20  |                root  |                   Vertex_6_20  |     4.67678681050545*cm -17.4542993307976*cm 5*cm  |       0*deg 0*rad -188.008164889384*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50620 
         Vertex_6_21  |                root  |                   Vertex_6_21  |     9.03493078951759*cm -15.6491190048714*cm 5*cm  |       0*deg 0*rad -203.008594620404*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50621 
         Vertex_6_22  |                root  |                   Vertex_6_22  |     12.7773602003505*cm -12.7774788714558*cm 5*cm  |       0*deg 0*rad -218.009024351424*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50622 
         Vertex_6_23  |                root  |                   Vertex_6_23  |      15.649035091696*cm -9.03507613132654*cm 5*cm  |       0*deg 0*rad -233.009454082445*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50623 
         Vertex_6_24  |                root  |                   Vertex_6_24  |     17.4542558940867*cm -4.67694891823069*cm 5*cm  |       0*deg 0*rad -248.009883813465*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50624 
      VTX_endcap_1_1  |                root  |                    VTX_endcap  |                              0*cm 0.*cm  -19.5*cm  |                       0*rad 0*rad 0*rad  | 09e5f4   |                Cons  |               4*cm 4.05*cm  7*cm 7.05*cm 6*cm 0*deg 360*deg  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       VTX_endcapE_51001 
      VTX_endcap_1_2  |                root  |                    VTX_endcap  |                                0*cm 0.*cm  -28*cm  |                       0*rad 0*rad 0*rad  | 09e5f4   |                Cons  |         4.5*cm 4.55*cm  11*cm 11.05*cm 7.5*cm 0*deg 360*deg  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       VTX_endcapE_51002 
      VTX_endcap_1_3  |                root  |                    VTX_endcap  |                              0*cm 0.*cm  -41.5*cm  |                       0*rad 0*rad 0*rad  | 09e5f4   |                Cons  |             6*cm 6.05*cm  15*cm 15.05*cm 9*cm 0*deg 360*deg  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       VTX_endcapE_51003 
      VTX_endcap_1_4  |                root  |                    VTX_endcap  |                                0*cm 0.*cm  -48*cm  |                       0*rad 0*rad 0*rad  | 09e5f4   |                Cons  |          7*cm 7.05*cm  18*cm 18.05*cm 12.5*cm 0*deg 360*deg  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       VTX_endcapE_51004 
      VTX_endcap_2_1  |                root  |                    VTX_endcap  |                              -0*cm 0.*cm  29.5*cm  |                  0*rad  3.1415*rad *rad  | 09e5f4   |                Cons  |               4*cm 4.05*cm  7*cm 7.05*cm 6*cm 0*deg 360*deg  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       VTX_endcapE_51001 
      VTX_endcap_2_2  |                root  |                    VTX_endcap  |                                -0*cm 0.*cm  38*cm  |                  0*rad  3.1415*rad *rad  | 09e5f4   |                Cons  |           5*cm 5.05*cm  11*cm 11.05*cm 7.5*cm 0*deg 360*deg  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       VTX_endcapE_51002 
      VTX_endcap_2_3  |                root  |                    VTX_endcap  |                              -0*cm 0.*cm  51.5*cm  |                  0*rad  3.1415*rad *rad  | 09e5f4   |                Cons  |             7*cm 7.05*cm  15*cm 15.05*cm 9*cm 0*deg 360*deg  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       VTX_endcapE_51003 
      VTX_endcap_2_4  |                root  |                    VTX_endcap  |                                -0*cm 0.*cm  58*cm  |                  0*rad  3.1415*rad *rad  | 09e5f4   |                Cons  |          8*cm 8.05*cm  18*cm 18.05*cm 12.5*cm 0*deg 360*deg  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       VTX_endcapE_51004 
det1_tracker_vertexD_1  |                root  |         det1_tracker_vertex_1  |                                  -2*cm 0*cm 80*cm  |                   0.025*rad 0*deg 0*deg  | 09e5f4   |                Tube  |                           5.5*cm 17*cm 0.3*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 52100 
det1_tracker_vertexD_2  |                root  |         det1_tracker_vertex_2  |                                  -2*cm 0*cm 90*cm  |                   0.025*rad 0*deg 0*deg  | 09e5f4   |                Tube  |                             6*cm 17*cm 0.3*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 52200 
det1_tracker_vertexD_3  |                root  |         det1_tracker_vertex_3  |                                 -2*cm 0*cm 100*cm  |                   0.025*rad 0*deg 0*deg  | 09e5f4   |                Tube  |                             6*cm 17*cm 0.3*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 52300 
det1_tracker_vertexD_4  |                root  |         det1_tracker_vertex_4  |                                 -2*cm 0*cm 110*cm  |                   0.025*rad 0*deg 0*deg  | 09e5f4   |                Tube  |                           6.5*cm 17*cm 0.3*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 52400 
det1_tracker_vertexDe_1  |                root  |       det1_tracker_vertexDe_1  |                                  2*cm 0*cm -70*cm  |                  -0.025*rad 0*deg 0*deg  | 09e5f4   |                Tube  |                          5.5*cm 17*cm 0.15*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 53100 
det1_tracker_vertexDe_2  |                root  |       det1_tracker_vertexDe_2  |                                  2*cm 0*cm -80*cm  |                  -0.025*rad 0*deg 0*deg  | 09e5f4   |                Tube  |                            6*cm 17*cm 0.15*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 53200 
det1_tracker_vertexDe_3  |                root  |       det1_tracker_vertexDe_3  |                                  2*cm 0*cm -90*cm  |                  -0.025*rad 0*deg 0*deg  | 09e5f4   |                Tube  |                            6*cm 17*cm 0.15*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 53300 
det1_tracker_vertexDe_4  |                root  |       det1_tracker_vertexDe_4  |                                 2*cm 0*cm -100*cm  |                  -0.025*rad 0*deg 0*deg  | 09e5f4   |                Tube  |                          6.5*cm 17*cm 0.15*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 53400 
