    4     1     1 0.000000 0.000000    11 10.000000     0     0 2.390350e+00
    3 0.000000      1    11     0    -1 7.590982e-01 -1.985361e+00 -8.739026e+00 8.993801e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    5 0.000000      1  2212     2    -1 5.139852e-01 -2.245042e-02 9.650351e+01 9.650944e+01 9.382720e-01 0.000000e+00 0.000000e+00 0.000000e+00
    6 0.000000      1   -11     4    -1 9.205057e-01 1.171702e+00 1.278290e+00 1.963223e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    7 0.000000      1    11     4    -1 -2.193589e+00 8.361095e-01 9.528211e-01 2.533531e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    4     1     1 0.000000 0.000000    11 10.000000     0     0 2.390350e+00
    3 0.000000      1    11     0    -1 -3.217402e+00 5.803143e-02 -8.336992e+00 8.936469e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    5 0.000000      1  2212     2    -1 -1.680522e-01 1.585426e-01 9.582575e+01 9.583062e+01 9.382720e-01 0.000000e+00 0.000000e+00 0.000000e+00
    6 0.000000      1   -11     4    -1 1.689430e+00 1.249964e+00 2.067597e+00 2.948142e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    7 0.000000      1    11     4    -1 1.696024e+00 -1.466538e+00 4.392455e-01 2.284769e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    4     1     1 0.000000 0.000000    11 10.000000     0     0 2.390350e+00
    3 0.000000      1    11     0    -1 1.243667e+00 1.612151e+00 -9.777927e+00 9.987673e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    5 0.000000      1  2212     2    -1 -4.731684e-01 -2.330337e-01 7.372144e+01 7.372929e+01 9.382720e-01 0.000000e+00 0.000000e+00 0.000000e+00
    6 0.000000      1   -11     4    -1 -1.392723e+00 4.816339e-01 1.320734e+01 1.328930e+01 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    7 0.000000      1    11     4    -1 6.222234e-01 -1.860751e+00 1.284475e+01 1.299373e+01 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    4     1     1 0.000000 0.000000    11 10.000000     0     0 2.390350e+00
    3 0.000000      1    11     0    -1 3.570515e-01 2.179305e+00 -8.948181e+00 9.216659e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    5 0.000000      1  2212     2    -1 -5.441155e-01 1.953413e-03 9.593786e+01 9.594399e+01 9.382720e-01 0.000000e+00 0.000000e+00 0.000000e+00
    6 0.000000      1   -11     4    -1 -1.206151e+00 -3.228869e-01 1.883376e+00 2.259682e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    7 0.000000      1    11     4    -1 1.393215e+00 -1.858371e+00 1.122545e+00 2.579670e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    4     1     1 0.000000 0.000000    11 10.000000     0     0 2.390350e+00
    3 0.000000      1    11     0    -1 -2.557682e-01 1.101673e+00 -9.466080e+00 9.533402e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    5 0.000000      1  2212     2    -1 1.807454e-01 2.094699e-02 9.453381e+01 9.453864e+01 9.382720e-01 0.000000e+00 0.000000e+00 0.000000e+00
    6 0.000000      1   -11     4    -1 5.052939e-01 -9.950052e-01 5.255260e+00 5.372440e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
